Date,Province_State,Population,Elapsed_Days,Percentage_Home
2020-05-11,Utah,3205958.0,57,34.04391673616258
2020-05-11,Vermont,623989.0,58,39.245054790793255
2020-05-11,Virginia,8535519.0,57,39.4753474971152
2020-05-11,Washington,7614893.0,68,41.90247559002433
2020-05-11,West Virginia,1792147.0,50,33.503172406638456
2020-05-11,Wisconsin,5822434.0,57,37.69391658876115
2020-05-11,Wyoming,578759.0,57,34.456053607498234
2020-05-12,Alabama,4903185.0,57,25.558675099876105
2020-05-12,Alaska,731545.0,55,32.176330677143326
2020-05-12,Arizona,7278717.0,54,35.77619026667306
2020-05-12,Arkansas,3017804.0,58,28.982583446974573
2020-05-12,California,39512223.0,61,41.66997246523642
2020-05-12,Colorado,5758736.0,62,36.04660933587596
2020-05-12,Connecticut,3565287.0,59,39.507333776832965
2020-05-12,Delaware,973764.0,59,38.81392093927513
2020-05-12,District of Columbia,705749.0,0,47.98665942250021
2020-05-12,Florida,21477737.0,58,33.145309595892805
2020-05-12,Georgia,10617423.0,59,30.22477683150159
2020-05-12,Hawaii,1415872.0,56,36.23364936666593
2020-05-12,Idaho,1787065.0,55,31.80863195887961
2020-05-12,Illinois,12671821.0,59,38.14201317499777
2020-05-12,Indiana,6732219.0,55,31.56003623912425
2020-05-12,Iowa,3155070.0,61,30.14961469954521
2020-05-12,Kansas,2913314.0,56,33.605999004103325
2020-05-12,Kentucky,4467673.0,56,30.072238715504064
2020-05-12,Louisiana,4648794.0,60,27.69352769010209
2020-05-12,Maine,1344212.0,58,33.1083749813383
2020-05-12,Maryland,6045680.0,58,42.550682098723605
2020-05-12,Massachusetts,6892503.0,63,42.94430850585803
2020-05-12,Michigan,9986857.0,57,36.69403598155211
2020-05-12,Minnesota,5639632.0,58,36.26974372719403
2020-05-12,Mississippi,2976149.0,56,24.07696488911301
2020-05-12,Missouri,6137428.0,54,32.807934219066894
2020-05-12,Montana,1068778.0,58,31.26567154801921
2020-05-12,Nebraska,1934408.0,61,32.285513061356234
2020-05-12,Nevada,3080156.0,60,38.84721340574398
2020-05-12,New Hampshire,1359711.0,59,37.02983143136322
2020-05-12,New Jersey,8882190.0,59,44.70437854672776
2020-05-12,New Mexico,2096829.0,58,34.6389436346707
2020-05-12,New York,19453561.0,65,45.27015433984901
2020-05-12,North Carolina,10488084.0,56,31.36649783030925
2020-05-12,North Dakota,762062.0,55,30.250266224331064
2020-05-12,Ohio,11689100.0,56,33.97920897929164
2020-05-12,Oklahoma,3956971.0,54,29.405579913010016
2020-05-12,Oregon,4217737.0,61,39.283583624323
2020-05-12,Pennsylvania,12801989.0,58,39.12275868931139
2020-05-12,Puerto Rico,3193694.0,52,51.69085993009003
2020-05-12,Rhode Island,1059361.0,60,38.682254278905155
2020-05-12,South Carolina,5148714.0,58,27.695132376844736
2020-05-12,South Dakota,884659.0,62,30.07363542315589
2020-05-12,Tennessee,6829174.0,58,29.574328013954247
2020-05-12,Texas,28995881.0,55,33.3677763217697
2020-05-12,Utah,3205958.0,58,32.11912280910296
2020-05-12,Vermont,623989.0,59,35.37628072421235
2020-05-12,Virginia,8535519.0,58,37.38366791524268
2020-05-12,Washington,7614893.0,69,40.748088077890145
2020-05-12,West Virginia,1792147.0,51,30.16727001158237
2020-05-12,Wisconsin,5822434.0,58,34.511154062839
2020-05-12,Wyoming,578759.0,58,32.03206183919085
2020-05-13,Alabama,4903185.0,58,22.525841334387497
2020-05-13,Alaska,731545.0,56,25.584679978310184
2020-05-13,Arizona,7278717.0,55,31.69300280606729
2020-05-13,Arkansas,3017804.0,59,24.271416725528468
2020-05-13,California,39512223.0,62,41.25881159420776
2020-05-13,Colorado,5758736.0,63,35.836546940206816
2020-05-13,Connecticut,3565287.0,60,39.401521802655225
2020-05-13,Delaware,973764.0,60,38.359409780968925
2020-05-13,District of Columbia,705749.0,0,48.16510148165124
2020-05-13,Florida,21477737.0,59,34.14977337895273
2020-05-13,Georgia,10617423.0,60,30.977904195703264
2020-05-13,Hawaii,1415872.0,57,37.30896724486601
2020-05-13,Idaho,1787065.0,56,32.780308539229395
2020-05-13,Illinois,12671821.0,60,38.749800159826314
2020-05-13,Indiana,6732219.0,56,31.22533591867968
2020-05-13,Iowa,3155070.0,62,31.730630675464834
2020-05-13,Kansas,2913314.0,57,32.781980984872405
2020-05-13,Kentucky,4467673.0,57,31.824823192684857
2020-05-13,Louisiana,4648794.0,61,28.350268427805013
2020-05-13,Maine,1344212.0,59,32.2605581275462
2020-05-13,Maryland,6045680.0,59,41.50116043284663
2020-05-13,Massachusetts,6892503.0,64,42.241392281681264
2020-05-13,Michigan,9986857.0,58,36.027356534011886
2020-05-13,Minnesota,5639632.0,59,38.388712323668756
2020-05-13,Mississippi,2976149.0,57,23.57777616066082
2020-05-13,Missouri,6137428.0,55,32.1444655819946
2020-05-13,Montana,1068778.0,59,29.89246709878097
2020-05-13,Nebraska,1934408.0,62,32.688955370139816
2020-05-13,Nevada,3080156.0,61,37.37603713962572
2020-05-13,New Hampshire,1359711.0,60,35.259586563737116
2020-05-13,New Jersey,8882190.0,60,43.035496565277434
2020-05-13,New Mexico,2096829.0,59,33.7378116444508
2020-05-13,New York,19453561.0,66,44.09552885866865
2020-05-13,North Carolina,10488084.0,57,31.35173654661328
2020-05-13,North Dakota,762062.0,56,31.951457928724107
2020-05-13,Ohio,11689100.0,57,32.77311290220386
2020-05-13,Oklahoma,3956971.0,55,28.093405595273968
2020-05-13,Oregon,4217737.0,62,38.41915084339184
2020-05-13,Pennsylvania,12801989.0,59,37.106244373036496
2020-05-13,Puerto Rico,3193694.0,53,52.20015818720617
2020-05-13,Rhode Island,1059361.0,61,38.06766276940941
2020-05-13,South Carolina,5148714.0,59,26.829577847604142
2020-05-13,South Dakota,884659.0,63,29.39878280620905
2020-05-13,Tennessee,6829174.0,59,28.926267448350714
2020-05-13,Texas,28995881.0,56,31.885535213971323
2020-05-13,Utah,3205958.0,59,32.375218479346884
2020-05-13,Vermont,623989.0,60,35.19303276147161
2020-05-13,Virginia,8535519.0,59,36.601491789548646
2020-05-13,Washington,7614893.0,70,39.952959174899696
