Date,Weekly_Incident_Rate_Pct_Change
2020-02-02,0.0
2020-02-02,0.0
2020-02-02,1.0
2020-02-02,0.0
2020-02-09,0.3333333333333335
2020-02-09,0.0
2020-02-09,0.0
2020-02-09,0.0
2020-02-09,0.0
2020-02-16,0.0
2020-02-16,0.0
2020-02-16,0.0
2020-02-16,0.0
2020-02-16,0.25
2020-02-16,0.0
2020-02-23,0.19999999999999996
2020-02-23,0.0
2020-02-23,0.0
2020-02-23,9.999999999999998
2020-02-23,0.0
2020-02-23,0.0
2020-02-23,0.5
2020-03-01,11.545454545454549
2020-03-01,1.3333333333333335
2020-03-01,0.0
2020-03-01,23.000000000000004
2020-03-01,11.0
2020-03-01,4.0
2020-03-01,7.166666666666666
2020-03-08,1.6
2020-03-08,5.833333333333334
2020-03-08,3.6594202898550723
2020-03-08,12.285714285714286
2020-03-08,3.3469387755102042
2020-03-08,5.0
2020-03-08,5.0
2020-03-08,31.0
2020-03-08,5.666666666666666
2020-03-15,12.625
2020-03-15,8.242424242424242
2020-03-15,6.916666666666667
2020-03-15,6.625
2020-03-15,10.906249999999998
2020-03-15,10.279569892473118
2020-03-15,7.930555555555555
2020-03-15,3.8888888888888893
2020-03-15,4.692307692307692
2020-03-15,7.124999999999998
2020-03-15,4.15
2020-03-15,2.863849765258216
2020-03-15,6.712121212121213
2020-03-15,9.2
2020-03-15,8.571428571428573
2020-03-15,11.948717948717949
2020-03-15,2.105754276827372
2020-03-15,3.5114503816793885
2020-03-15,5.2727272727272725
2020-03-15,3.7714285714285714
2020-03-15,3.4722222222222223
2020-03-15,7.730434782608695
2020-03-15,20.584699453551913
2020-03-15,3.1500000000000004
2020-03-15,2.0
2020-03-15,7.0
2020-03-15,16.4
2020-03-15,5.5
2020-03-15,10.692307692307692
2020-03-15,7.833333333333332
2020-03-15,4.785714285714286
2020-03-15,6.000000000000002
2020-03-15,2.939024390243902
2020-03-15,18.53061224489796
2020-03-22,5.7426326129666005
2020-03-22,3.2524271844660193
2020-03-22,3.643258426966292
2020-03-22,1.8918918918918917
2020-03-22,9.517241379310345
2020-03-22,2.403726708074534
2020-03-22,4.0769230769230775
2020-03-22,3.1578947368421053
2020-03-22,3.4444444444444446
2020-03-22,2.405940594059406
2020-03-22,3.2293906810035837
2020-03-22,3.5294117647058822
2020-03-22,5.993730407523511
2020-03-22,2.904918032786885
2020-03-22,6.670278637770897
2020-03-22,3.519230769230769
2020-03-22,5.402985074626866
2020-03-22,2.7751898734177214
2020-03-22,3.8421052631578947
2020-03-22,1.8426966292134832
2020-03-22,4.302415458937198
2020-03-22,3.3421461897356144
2020-03-22,3.045454545454546
2020-03-22,1.1176470588235294
2020-03-22,2.5
2020-03-22,2.0119760479041915
2020-03-22,2.666666666666667
2020-03-22,4.077868852459017
2020-03-22,3.2857142857142856
2020-03-22,2.555285540704739
2020-03-22,4.1000000000000005
2020-03-22,6.416666666666666
2020-03-22,3.381315538608199
2020-03-22,2.9035532994923865
2020-03-22,6.0625
2020-03-22,3.268921095008052
2020-03-22,1.2358537806710066
2020-03-22,3.2290836653386457
2020-03-22,1.5818181818181816
2020-03-22,2.055118110236221
2020-03-22,4.521739130434782
2020-03-22,5.09480122324159
2020-03-22,2.3076923076923075
2020-03-22,1.8113207547169816
2020-03-22,0.6764705882352942
2020-03-22,5.046052631578949
2020-03-22,4.254777070063694
2020-03-22,5.690476190476191
2020-03-22,3.1428571428571432
2020-03-22,2.9489795918367347
2020-03-22,2.5421686746987953
2020-03-22,2.733333333333334
2020-03-29,1.4899328859060406
2020-03-29,2.136054421768707
2020-03-29,1.5227043390514634
2020-03-29,1.1787234042553187
2020-03-29,1.8640670553935856
2020-03-29,1.901869158878505
2020-03-29,1.1122448979591835
2020-03-29,1.867256637168142
2020-03-29,1.5073557148245946
2020-03-29,2.7401574803149606
2020-03-29,1.1803652968036529
2020-03-29,0.9931271477663228
2020-03-29,2.37037037037037
2020-03-29,1.2906976744186047
2020-03-29,1.9008620689655165
2020-03-29,1.5820200573065901
2020-03-29,1.8474661314601102
2020-03-29,0.857142857142857
2020-03-29,1.9298245614035086
2020-03-29,1.2241813602015115
2020-03-29,0.948905109489051
2020-03-29,1.016304347826087
2020-03-29,1.5650273224043718
2020-03-29,1.9086198775317942
2020-03-29,1.2333333333333334
2020-03-29,1.158102766798419
2020-03-29,1.9230769230769234
2020-03-29,2.8362989323843415
2020-03-29,0.8137254901960782
2020-03-29,0.8588469184890655
2020-03-29,1.1456436931079321
2020-03-29,1.1122093023255815
2020-03-29,2.675141242937853
2020-03-29,1.569036226930964
2020-03-29,0.9647887323943665
2020-03-29,1.4458560193587418
2020-03-29,1.1393939393939392
2020-03-29,1.9662921348314604
2020-03-29,1.4497389033942558
2020-03-29,0.8577075098814231
2020-03-29,1.7051142546245917
2020-03-29,1.666666666666667
2020-03-29,0.7525195968645018
2020-03-29,1.5863095238095233
2020-03-29,1.6472868217054257
2020-03-29,2.3767482517482517
2020-03-29,1.8018078589571194
2020-03-29,1.9153998678122939
2020-03-29,1.0647800429184548
2020-03-29,1.8270042194092824
2020-03-29,1.9192897497982244
2020-03-29,1.2757575757575759
2020-04-05,0.9792907067046337
2020-04-05,0.4297752808988764
2020-04-05,0.4322139303482586
2020-04-05,0.7973248696440716
2020-04-05,1.1730769230769234
2020-04-05,0.4247787610619469
2020-04-05,0.7896138482023969
2020-04-05,0.8582089552238805
2020-04-05,0.5288409703504042
2020-04-05,0.8884210526315788
2020-04-05,0.997727272727273
2020-04-05,1.4145616641901935
