Date,Incident_Rate
2020-05-10,464.36370666894874
2020-05-10,272.9880816142716
2020-05-10,356.018187060447
2020-05-10,125.50103703880043
2020-05-10,150.64368121873943
2020-05-10,172.08063347518942
2020-05-10,641.8467401516455
2020-05-10,740.6652133865256
2020-05-10,353.937108844585
2020-05-10,743.3106891266851
2020-05-10,240.0684453064692
2020-05-10,53.03843235891162
2020-05-10,191.58596219635962
2020-05-10,215.42537021458725
2020-05-10,157.69745152435348
2020-05-10,202.8891161097162
2020-05-10,380.95165327946967
2020-05-10,1049.5368255066142
2020-05-10,787.6651837611578
2020-05-10,83.25209929765806
2020-05-10,1009.2823369214835
2020-05-10,212.25699895664053
2020-05-10,242.06512159790032
2020-05-10,45.20182615377661
2020-05-10,135.3616124763229
2020-05-10,412.6128398378009
2020-05-10,1247.8775852545875
2020-05-10,1196.3815922995088
2020-05-10,512.0930438875814
2020-05-10,283.1895209385219
2020-05-10,450.6821272377266
2020-05-10,1649.413038901442
2020-05-10,254.1888667648533
2020-05-10,249.32354585322454
2020-05-10,264.4679641482639
2020-05-10,238.88066660393017
2020-05-10,225.6054563470162
2020-05-10,526.1041104048371
2020-05-10,134.19355360451212
2020-05-10,1799.7784570136027
2020-05-10,171.22722295314907
2020-05-10,166.90646509412838
2020-05-10,85.89914449383639
2020-05-10,43.788326481271135
2020-05-10,180.9878665786385
2020-05-10,225.7671497879885
2020-05-10,82.85076779428461
2020-05-10,277.8195456724836
2020-05-10,513.2015032976517
2020-05-10,379.550889421195
2020-05-10,178.04014536878233
2020-05-10,130.27875160472666
2020-05-17,93.10680111159137
2020-05-17,904.6339770211264
2020-05-17,515.7919605181205
2020-05-17,1327.6871623554198
2020-05-17,98.15043074033548
2020-05-17,99.85302286317976
2020-05-17,152.56619267616568
2020-05-17,222.7766291726878
2020-05-17,295.277457407787
2020-05-17,1135.0558875063916
2020-05-17,317.29701782794575
2020-05-17,224.99844409392477
2020-05-17,262.38167749089126
2020-05-17,558.9990742844725
2020-05-17,55.635675180610896
2020-05-17,272.99792114020755
2020-05-17,237.95168396371926
2020-05-17,196.23540826375734
2020-05-17,196.08779978845203
2020-05-17,419.7796183051281
2020-05-17,260.38448603283064
2020-05-17,1149.1337571856284
2020-05-17,766.0511307247489
2020-05-17,261.76263070196177
2020-05-17,152.87767108164485
2020-05-17,547.5095918565771
2020-05-17,153.2078289841648
2020-05-17,364.7933056624971
2020-05-17,799.5406980821263
2020-05-17,445.5422090762257
2020-05-17,191.84483734597407
2020-05-17,309.06383589273247
2020-05-17,197.94936901907445
2020-05-17,192.6515010873441
2020-05-17,424.6256144471121
2020-05-17,1858.3487105522736
2020-05-17,546.7707531053194
2020-05-17,466.05732820040464
2020-05-17,627.2720129362575
2020-05-17,870.4668413482166
2020-05-17,255.8636640481846
2020-05-17,146.94485091476807
2020-05-17,305.1383713156693
2020-05-17,45.413709713872436
2020-05-17,294.48656601808653
2020-05-17,404.0716848146673
2020-05-17,1344.5768540108
2020-05-17,1735.5404466691211
2020-05-17,236.8359385348652
2020-05-17,331.11903736546947
2020-05-17,44.81753928318135
2020-05-17,144.79256478085006
