Date,Incident_Rate
2020-02-02,0.013738684990775159
2020-02-02,0.01578305122839093
2020-02-02,0.015185174471200975
2020-02-02,0.013132160885254724
2020-02-09,0.020246899294934635
2020-02-09,0.014508517442792551
2020-02-09,0.013132160885254724
2020-02-09,0.01578305122839093
2020-02-09,0.013738684990775159
2020-02-16,0.014508517442792551
2020-02-16,0.017174947796746172
2020-02-16,0.01578305122839093
2020-02-16,0.013132160885254724
2020-02-16,0.025308624118668292
2020-02-16,0.013738684990775159
2020-02-23,0.03037034894240195
2020-02-23,0.017174947796746172
2020-02-23,0.0034487657057221334
2020-02-23,0.14445376973780194
2020-02-23,0.014508517442792551
2020-02-23,0.013738684990775159
2020-02-23,0.023674576842586396
2020-03-01,1.812238202165152
2020-03-01,0.05524067929936826
2020-03-01,0.017174947796746172
2020-03-01,0.3482044186270213
2020-03-01,0.0413851884686656
2020-03-01,0.0686934249538758
2020-03-01,0.24802451636294925
2020-03-08,0.17860290488007707
2020-03-08,2.379396860617979
2020-03-08,8.443979449218787
2020-03-08,0.7339118821201783
2020-03-08,1.0781473874552692
2020-03-08,0.8535382836815097
2020-03-08,0.2483111308119936
2020-03-08,0.5495983294958775
2020-03-08,1.8879305543624882
2020-03-15,9.171772146253584
2020-03-15,2.9080621398531896
2020-03-15,6.168518737362653
2020-03-15,4.03593971232351
2020-03-15,6.543655110560291
2020-03-15,8.278210369291044
2020-03-15,2.2175563487793317
2020-03-15,2.5774648266848215
2020-03-15,5.442332966343583
2020-03-15,2.2311360876307873
2020-03-15,2.3054507346441873
2020-03-15,4.165799529932801
2020-03-15,3.975944675471913
2020-03-15,3.0302044541331767
2020-03-15,1.6932143298497766
2020-03-15,7.394744957442876
2020-03-15,26.224925287853683
2020-03-15,10.262668752309533
2020-03-15,5.848876888487912
2020-03-15,2.961186119945415
2020-03-15,3.817212879797863
2020-03-15,4.674607944030603
2020-03-15,81.21906318334212
2020-03-15,7.834911800604327
2020-03-15,2.6364655233022196
2020-03-15,5.750880090042351
2020-03-15,1.4175319042439276
2020-03-15,8.333480237632394
2020-03-15,2.088280118597824
2020-03-15,3.7432762283596253
2020-03-15,5.053091774751883
2020-03-15,3.806775827905765
2020-03-15,9.37250226804399
2020-03-15,21.548739668933
2020-03-22,26.80833423618783
2020-03-22,9.803761376448097
2020-03-22,14.141379575844162
2020-03-22,15.738638578344956
2020-03-22,14.908525199806824
2020-03-22,12.992749429374092
2020-03-22,11.327306291048613
2020-03-22,11.30278148575778
2020-03-22,22.458185665563928
2020-03-22,25.186062033270787
2020-03-22,76.14878181308958
2020-03-22,14.408979226743066
2020-03-22,150.70607586642484
2020-03-22,11.355744290377537
2020-03-22,71.8897039290371
2020-03-22,37.66092030468486
2020-03-22,10.84162608217245
2020-03-22,306.61738485822724
2020-03-22,29.868617044071797
2020-03-22,18.821435904455548
2020-03-22,54.95222370761893
2020-03-22,9.628953850376197
2020-03-22,10.427016798861324
2020-03-22,5.583103461110583
2020-03-22,12.859846049271582
2020-03-22,8.919021666661939
2020-03-22,25.50275540639934
2020-03-22,20.493972555609957
2020-03-22,10.173411450061549
2020-03-22,14.810606834244684
2020-03-22,13.943093042806664
2020-03-22,22.47401636815439
2020-03-22,36.26945172284236
2020-03-22,40.06087446967529
2020-03-22,6.3052863409084186
2020-03-22,24.968393931371107
2020-03-22,58.63509835266235
2020-03-22,19.769308097962092
2020-03-22,14.116224910564105
2020-03-22,19.991639235412546
2020-03-22,3.976586360496654
2020-03-22,55.90012809627949
2020-03-22,14.859380156507287
2020-03-22,10.523550151426118
2020-03-22,48.45915474198334
2020-03-22,12.625851506522373
2020-03-22,16.825797925226155
2020-03-22,15.724106286005266
2020-03-22,23.825074658746885
2020-03-22,15.032880055097255
2020-03-22,27.75257914912858
2020-03-22,10.649526001007903
2020-03-29,26.202933598517383
2020-03-29,87.0335985561107
2020-03-29,181.35646803490692
2020-03-29,82.05272849361126
2020-03-29,157.38685354160972
2020-03-29,45.671469893234665
2020-03-29,27.163144206114463
2020-03-29,18.078874110215292
2020-03-29,62.60464521381507
2020-03-29,14.873059222330005
2020-03-29,21.375781083351445
2020-03-29,39.84587888845112
2020-03-29,18.81712648003937
2020-03-29,34.038347567813204
2020-03-29,69.11325536783039
2020-03-29,24.86215197255086
2020-03-29,159.17372149843757
2020-03-29,26.759532849665693
2020-03-29,141.9768217879161
2020-03-29,25.257234781872455
2020-03-29,25.32163574921812
2020-03-29,60.224222409514326
2020-03-29,38.2407744742586
2020-03-29,57.50140249878281
2020-03-29,50.156614653092774
2020-03-29,55.03756700353376
2020-03-29,31.690907009427164
2020-03-29,60.32237215769992
2020-03-29,25.288943263914046
2020-03-29,16.579095941011754
2020-03-29,85.95636264624737
2020-03-29,53.1982345156237
2020-03-29,279.8575286407614
2020-03-29,38.04898550000591
2020-03-29,27.735399648221026
2020-03-29,34.587778357615214
2020-03-29,35.99701010669595
2020-03-29,30.929577920217856
2020-03-29,88.85068689022675
2020-03-29,34.964722826458924
2020-03-29,34.154370887067046
2020-03-29,27.129097200164132
2020-03-29,102.75915892711822
2020-03-29,27.542970520463886
2020-03-29,39.7963452621373
2020-03-29,90.52499576433006
2020-03-29,422.24946775513695
2020-03-29,65.52074434892864
2020-03-29,633.0974570671149
2020-03-29,31.953010951298364
2020-03-29,59.827844014238266
2020-03-29,25.778203104780328
2020-04-05,179.17528284081482
2020-04-05,36.20424886615737
2020-04-05,71.83500220526906
2020-04-05,117.76206329592071
2020-04-05,40.89106331239325
2020-04-05,48.662422237325615
