Date,Province_State,Population,Elapsed_Days,Percentage_Home
2020-02-13,Massachusetts,6892503.0,0,24.60956348997881
2020-02-13,Texas,28995881.0,0,23.44710228072288
2020-02-13,Washington,7614893.0,0,25.82273618980741
2020-02-13,Wisconsin,5822434.0,0,27.119711043499624
2020-02-14,Arizona,7278717.0,0,21.739886452905093
2020-02-14,California,39512223.0,0,20.676915543680227
2020-02-14,Illinois,12671821.0,0,22.672421624029976
2020-02-14,Massachusetts,6892503.0,0,19.721302769996303
2020-02-14,Texas,28995881.0,0,19.09420476773274
2020-02-14,Washington,7614893.0,0,21.782984698505167
2020-02-14,Wisconsin,5822434.0,0,22.14278046725784
2020-02-15,Arizona,7278717.0,0,27.29223405700529
2020-02-15,California,39512223.0,0,24.996844961374677
2020-02-15,Illinois,12671821.0,0,26.771686303911448
2020-02-15,Massachusetts,6892503.0,0,26.92837939896177
2020-02-15,Texas,28995881.0,0,24.249787389745197
2020-02-15,Washington,7614893.0,0,28.56200560438984
2020-02-15,Wisconsin,5822434.0,0,27.316020591376624
2020-02-16,Arizona,7278717.0,0,30.000495377831392
2020-02-16,California,39512223.0,0,27.768538625288137
2020-02-16,Illinois,12671821.0,0,27.34604215118103
2020-02-16,Massachusetts,6892503.0,0,27.10220372968949
2020-02-16,Texas,28995881.0,0,26.118078407325317
2020-02-16,Washington,7614893.0,0,29.372519222954
2020-02-16,Wisconsin,5822434.0,0,30.048858836418013
2020-02-17,Arizona,7278717.0,0,28.17491174095173
2020-02-17,California,39512223.0,0,26.75363930121291
2020-02-17,Illinois,12671821.0,0,26.79190563265735
2020-02-17,Massachusetts,6892503.0,0,26.898079578559994
2020-02-17,Texas,28995881.0,0,23.61617694917405
2020-02-17,Washington,7614893.0,0,27.867176405666367
2020-02-17,Wisconsin,5822434.0,0,25.567567704853662
2020-02-18,Arizona,7278717.0,0,23.452458954777303
2020-02-18,California,39512223.0,0,21.653506116565037
2020-02-18,Illinois,12671821.0,0,21.631294363389408
2020-02-18,Massachusetts,6892503.0,0,23.812598140972362
2020-02-18,Texas,28995881.0,0,20.671078798952195
2020-02-18,Washington,7614893.0,0,23.295160633577808
2020-02-18,Wisconsin,5822434.0,0,22.895583429122468
2020-02-19,Arizona,7278717.0,0,26.10095350671632
2020-02-19,California,39512223.0,0,22.606017646388093
2020-02-19,Illinois,12671821.0,0,23.016225773816746
2020-02-19,Massachusetts,6892503.0,0,24.383067804678603
2020-02-19,Texas,28995881.0,0,23.48653052378429
2020-02-19,Washington,7614893.0,0,24.31621458766921
2020-02-19,Wisconsin,5822434.0,0,24.672329709086767
2020-02-20,Arizona,7278717.0,0,23.595066194274715
2020-02-20,California,39512223.0,0,21.952952210908126
2020-02-20,Illinois,12671821.0,0,20.899331308459328
2020-02-20,Massachusetts,6892503.0,0,21.372222548026873
2020-02-20,Texas,28995881.0,0,20.76639186543052
2020-02-20,Washington,7614893.0,0,22.496541220561628
2020-02-20,Wisconsin,5822434.0,0,21.652195688259788
2020-02-21,Arizona,7278717.0,0,24.764113068276234
2020-02-21,California,39512223.0,0,20.677853641684088
2020-02-21,Illinois,12671821.0,0,20.815509321904834
2020-02-21,Massachusetts,6892503.0,0,23.172984963430576
2020-02-21,Nebraska,1934408.0,0,19.236148884341237
2020-02-21,Texas,28995881.0,0,20.49861084893769
2020-02-21,Washington,7614893.0,0,23.638245883880938
2020-02-21,Wisconsin,5822434.0,0,22.780015405453156
2020-02-22,Arizona,7278717.0,0,28.49247879569929
2020-02-22,California,39512223.0,0,24.098844451454216
2020-02-22,Illinois,12671821.0,0,24.038235451640485
2020-02-22,Massachusetts,6892503.0,0,26.21521390441999
2020-02-22,Texas,28995881.0,0,23.13634714281357
2020-02-22,Washington,7614893.0,0,26.729824224229077
2020-02-22,Wisconsin,5822434.0,0,25.121982889950576
2020-02-23,Arizona,7278717.0,0,29.57646709296582
2020-02-23,California,39512223.0,0,26.731020060077533
2020-02-23,Illinois,12671821.0,0,28.197297063591233
2020-02-23,Massachusetts,6892503.0,0,28.327198293385628
2020-02-23,Texas,28995881.0,0,26.605885211064106
2020-02-23,Washington,7614893.0,0,31.91284473103191
2020-02-23,Wisconsin,5822434.0,0,29.357372400112094
2020-02-24,Arizona,7278717.0,0,24.284621062064232
2020-02-24,California,39512223.0,0,22.595195064026136
2020-02-24,Illinois,12671821.0,0,24.153347733506195
2020-02-24,Massachusetts,6892503.0,0,22.346087311857005
2020-02-24,Texas,28995881.0,0,21.076708186031027
2020-02-24,Washington,7614893.0,0,23.35832744707809
2020-02-24,Wisconsin,5822434.0,0,23.171608793429428
2020-02-25,Arizona,7278717.0,0,33.502726742765056
2020-02-25,California,39512223.0,0,34.198017484798925
2020-02-25,Illinois,12671821.0,0,35.39033879815821
